Fecha,Carrera,Distancia,Tiempo,ritmo de carrera,Velocidad
27/05/12,Carrera,9.5 Km,0.0:45.0:0.0,4:44.22,12.667
29/05/12,Entrenamiento,8.13 Km,0.0:37.0:20.0,4:35.52,13.071
23/15/10,Carrera,3.001 Km,0.0:10.0:10.0,3:23.28,17.757
25/06/12,Entrenamiento,6.1 Km,0.0:25.0:25.0,4:10.02,14.387
13/06/14,Carrera,21.2 Km,1.0:40.0:25.0,4:44.22,12.664
